,,,,,,,,,,,,,,,,,,,,,,
【#武汉首对新冠疫苗志愿者夫妇#：“我们就是一对普通夫妻做的普通事”】正在武汉进行的新冠疫苗一期临床试验108位志愿者中，张晶和赵威，是唯一一对夫妻志愿者。5日下午5时许，他们结束医学隔离观察，一起回家。隔离观察期间，夫妻俩的房间紧挨着，他们有时敲墙壁问候，有时微信视频见面。张晶说：“没有什么惊天动地，我们就是武汉一对普通夫妻做的普通事。”“我们就是一对普通夫妻做的普通事”，武汉首对新冠疫苗志愿者夫妇结束医学隔离观察回家,2021/4/6 8:19,"评论
582",平凡人伟大事，感谢你们的付出,感谢你们,五星红旗飘飘的国家有英雄的儿女！也有英雄的夫妻！为你们钦佩和自豪,正能量,感谢你们的付出，谢谢,这个春天因为有了普通的你们而变得不普通,愿你我都能记住这悲伤的时刻，记住曾在这个冬天舍生忘死的英雄，以后便不再惧怕黑暗，心中「装着一腔热血」，把先烈未走完的路继续走下去，从此「山河无恙，国家富强」,点赞,一对普通的夫妇，做着伟大的事！！,凡人英雄。,一件件普通的事，才组成了伟大的成就,致敬你们都是最伟大的人，感谢你们的付出,这些志愿者才是真正爱国者，那些躲在家里吹着暖气，敲着键盘散布满地无主手机谣言，给反华机构送枪的 恶人应该被扫进垃圾堆里去。,伟大而平凡,感谢你们的付出！谢谢,感谢你们,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#英国谣传病毒与5G设备有关#：#英官方称病毒与5G有关是最恶劣假新闻#】近日，英国发生了三起5G通讯网络的起火事件。警方怀疑事件与网络上“5G设备和病毒传播有关”的谣言有关。对此，英国官方表示：这是彻底胡扯、毫无根据，是最恶劣的假新闻。小央视频的秒拍视频,2021/4/6 7:51,"评论
2802",哈哈哈哈病毒毒性太强，把脑子毒坏了。。,这是想把我们智商按在地上摩擦吗？真想不懂他们为什么会是发达国家,谣言害死人啊！发达国家的人原来更离谱！！,病毒已经侵入脑袋了？,？？？？？智商被按在地上摩擦,肺炎能治 脑残治不了,可能我们还是发展中国家，发达国家的脑回路我们不懂。。。,如果和5G有关 那美国不是应该没有病例吗？,这集历史书上有,智商越低，，得病越重,怎么总有这种二哈行为啊,难道不是因为反华？,但凡有点儿脑子也不能造这个谣呀,拆掉基站，没有网络就没有新闻，没有新闻就看不到关于疫情的消息了,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#黄山回应景区游客集聚#】5日，黄山风景区管理委员会发布公告，称小长假前两天景区出现客流早高峰，造成游客集聚，其主要原因为安康码申领、核验和测温等疫情防控措施，致游客通行相比正常情况较慢；景区日最大承载量由5万人压缩至2万人后，游客担心难以进山，出现游客早晨集中进山现象。景区表示将采取增派志愿者、增设软硬隔离设施、优化预约措施等措施疏导游客。网页链接,2021/4/6 7:36,"评论
805",别拥挤，山总是在那里的，随时都可以去,全国各地多少景区都免费，且不说黄山已经六十七天无新增，公告也早就明确网上预约且限流，黄山市三十多个景区对安徽省人免费，只是没想到这么多人都去黄山了。本黄山人真是根本都不敢去外地，黄山流量大上热搜就一股脑不分青红皂白的骂，还地域黑，真没必要！,建立黑名单制度，破坏文物的应该哪都不能去。,这里面但凡又一个无症状，又得沾染一大片,天灾人祸，痛心疾首；毁于已然，防于未然,这些天有些免费的景区都人山人海，能不能换一种方式免费，每个身份证号码一年之内享受一次免费。不要集中在某月某天上。,收费就没有这么多贪小便宜的了,就这么不怕死吗,湖北作协厅级干部#方方小产权别墅转正获利千万#13亩5栋别墅，当时有关的参与领导全部处理却动不了她，以反体制为荣，武汉某医院死亡人数过多地上全是无主手机谣言来源，以写日记的名义发布所有道听途说（自己编的）的故事，外网广泛传播来制造反华情绪，对了邻居还种大麻……,一切都是借口，防疫当前，一切为安全为主，限流措施必需做好,钟老提醒：①低风险不等于无风险。②不管是居家、在公司或在公共场所，保持一定的距离非常重要！③当前不要参加集会，不要聚餐，不要去人多的地方。,建议现在还是不要出去游玩，生命安全第一。,预约的话，可以按时段分名额，几点到几点只能多少人预约，只能进多少人这可以降低管理难度,疫情还没结束，希望所有人都不抱侥幸心理，还是不要进行过多的聚集活动。,建议先线上预约！,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#你好，明天#】清明假期，黄山景区打开“人从众”模式，管委会不得不发公告限流、停止售票。天朗气清，正是出游时，但别急着看风光，而忽略风险；景区开放，有力更要有序，别急着攒人气，却不配足人手。一篙松劲退千寻，疫情防控还得加把劲。放得开、管得紧，进退裕如也是一种治理能力！,2021/4/5 23:43,"评论
1038",疫情尚未结束 大家还得警惕啊,#方方小产权别墅转正获利千万#请国家彻查,看到这则新闻真是担心又气愤，医护人员牺牲这么多，我们牺牲点游玩的时间又怎样？,低风险不等于无风险 还是谨慎点好,方方五套别墅，小产权变身商品房获利过千万，秦岭拆得，方方就拆不得吗#方方小产权别墅转正获利千万#,#方方小产权别墅转正获利千万#,没事别随便出去玩 谢谢,历史告诉我们，人类不会从历史中吸取任何教训,#方方小产权别墅转正获利千万#,还不是放松的时候还是不要去人多的地方吧,5000万阅读、5万讨论的#方方小产权别墅转正获利千万# 话题居然在热搜上连个影子都没有,各地医疗队撤出湖北，举国哀悼，并不意味着疫情结束。相反，全世界都在坚持抗疫！于国，世界各国还在艰难中抗疫，中国已经伸出援助之手。于民，我们应该保持警惕，不能掉以轻心。“山川异域，风月同天”。这就是一场战争，没有枪炮声却牺牲很多人的战争。只有全人类战胜病毒，我们才能平安的生活！,方方别墅的问题为什么就是上不了热搜，几千万阅读量，李文亮事件响应那么积极，现在怎么到方方头上就没有声音了？,在山上抽烟的烟民，请一定要熄灭烟头不要乱丢吸取一下教训，不想再看到有人再为此埋单了,疫情还没结束，大家还是要注意防护,#方方小产权别墅转正获利千万#,疫情没有结束，不能放松警惕，景区也不要以免费来带动旅游！,低风险不等于无风险，大家一定要继续保持警惕,健康的你，才是最美的风景,
,,,,,,,,,,,,,,,,,,,,,,
【人民微评：敢医敢言钟南山】#钟南山呼吁公众继续保持距离#，言辞恳切，娓娓道来，深入浅出，入耳入心。这不是钟南山院士第一次提醒，别当耳旁风，最好的尊重是听从。“请离我远点”，是一种善意；“我离你远点”，是一种责任。非常时期，就该适当保持距离。距离产生美，也产生安全感。世界卫生组织的微博视频,2021/4/5 23:15,"评论
1185",低风险不等于无风险！！！,听钟爷爷的，越是最后关头最不能放松警惕，坚持到底才能最终胜利，不要辜负了太多人的牺牲，自觉自律从我做起，对自己负责，对社会负责，对无私的爱负责！,我有国士 天下无双,敢医敢言，值得敬佩的人,#方方小产权别墅转正获利千万#,#方方小产权别墅转正获利千万#,钟老辛苦啦！！！！中国加油！！！！ #方方小产权别墅转正获利千万#,看到景区人山人海真是担心又气愤，医护人员牺牲这么多，我们牺牲点游玩的时间又怎样？,钟南山爷爷加油,“请离我远点”，是一种善意；“我离你远点”，是一种责任。,#方方小产权别墅转正获利千万# 请国家彻查,看看国外的情况，还是咱中国靠谱,为自己和他人负责,#方方小产权别墅转正获利千万# 辛苦钟老了。大家帮忙顶上去这条。,@人民日报 #方方小产权别墅转正获利千万#,听钟老的肯定没错,#方方小产权别墅转正获利千万# 请问这是谣言还是确有其事？,,,
,,,,,,,,,,,,,,,,,,,,,,
"【夜读：厚道之人，必有厚福】真正的高情商，不是耍小聪明，而是心里装着别人，懂得将心比心。为人厚道不是一味做“老好人”，而是在明辨是非的基础上，多了一份善意与柔情，多了一颗温热的心。今天，你给别人修过桥，待有一天，别人会来帮你铺更宽的路。
【夜读】厚道之人，必有厚福",2021/4/5 21:54,"评论
985",知乎上看到的：“你见过的情商最高的行为是什么？” ——“即使是对最熟悉、最亲切的人，仍然保持尊重和耐心。”,有人觉得情商高就是会说话，这是错的，真正的情商高并不是圆滑客套，而是温暖、真诚，懂得换位思考，让人如浴春风、百处不厌。,有的女孩懂事又敏感，缺乏安全感和过分自卑。遇到点事常会设身处地的为他人着想，生怕自己的言行举止惹得他人不愉快，其实往往不愉快的人都是自己。且从不愿主动与人打交道，却会热情的迎接并珍惜每一个对自己主动示好的人。而我们平常见到的那些看似难以接近的“高傲冷漠”之人，通常都是这类人,这是要培养脑奴吗？,做一个善良的人总没有错，恶意暗中中伤他人的不会有好结果的，做人要坦荡,检举揭发被逼走投无路，多次搬家更换住址最终还是被非法获取且公开泄露。为了躲避多次搬家，最终也家庭住址信息都被非法过去且公开泄露，请关/注【#我儿是北京警察# 信不信我把你放进去】。举手之劳，感谢各位。,晚安 怀揣善意 世界也将回馈善意,#先锋网信事件#爆雷已9个月，至今毫无进展，相反民怨沸腾，而作为当初互联网金融政策的制定者、站台者和政府有关部门却集体沉默，特别不可理解的是：先锋网信是国家政府树立起的互联网金融标杆企业；向世界各国强烈推荐的中国经验。这样的庞大企业怎能叫人民不相信怀疑？请政府不要失信于民！,温柔和善良是你的品质，而学会分清人话和鬼话就是你的选择了。 你的善良必须带点锋芒！,做人要坦荡,先锋网信理财诈骗750亿#全面的金融牌照、合规的金融平台、授信、参与，以及一系列的荣誉、获奖，媒体的表彰、推波助澜，蒙蔽了所有出借人的眼睛，让出借人认为企业具备极高的可信度，没有任何一方提示过风险的存在！！,但求无愧于心！,我一直相信善有善报，虽然不是要一味的做老好人，但是始终保持心底的一份纯善是必须的。晚安，报报！,你积累的人品和善良，总在不经意间给你带来惊喜和好运。一个人能走多远，不是由他的腿决定的，而是由他的善良决定的。你有多善良，就有多好运。,通过这次疫情我只知道中国政府是全世界最靠谱的政府，中国人民是全世界最靠谱的人民，我是中国人，我骄傲。中国人民加油[加油][加油],千万不要说我是老好人，我真的不想顶着这种帽子,穷未必独善其身，达定选择兼济天下。,,,
,,,,,,,,,,,,,,,,,,,,,,
【#特朗普称美国体育赛事将尽快恢复#】受新冠肺炎疫情影响，美国大部分体育赛事已经取消或推迟。日前，美国总统特朗普发表声明称，他已经与美国一些体育项目联盟的领导人进行了沟通，特朗普表示，美国体育赛事将不会倒退，各项目比赛也会尽快恢复。央视体育的微博视频,2021/4/5 21:23,"评论
8258",特离谱,特朗普脑子里都想的啥,特朗普：没有人比我更懂体育,无话可说，川普现在精神真的正常吗？不需要医生帮忙吗？,在与病毒的战争中，意大利迎来了拐点，中国走到了终点，美国找到了起点，从特朗普身上找到了笑点,特朗普与尼采。,我建议以后辞职了开个相声馆，生意肯定好。,新冠:美国变成了今天这样，没有一个特朗普是无辜的,他为什么就跟个神经病似的 一天到晚嘴巴叭叭叭个不停地,你说的算,……小命都要没了 还比赛呢,特朗普的脑子被病毒攻击了？,特朗普是不是没有搞清楚现在的状况？ 你们可是确诊30万。。。,知名搞笑博主更博了,确诊了，他是全球首例新冠脑炎病例。,还是关心关心国内的事吧！#先锋集团网信理财诈骗750亿# 17万受害家庭泣待立案彻查！,鬼才特朗普,,,
,,,,,,,,,,,,,,,,,,,,,,
【#韩国企业足球场上间隔5米应聘考试#，担心卷子被吹跑考生风中凌乱】4月4日，韩国一家企业安排应聘者在足球场上进行笔试，场地内摆设了约140张桌椅，每个座位之间间隔5米，在体温测试、手部消毒后，需戴着口罩进行考试。虽然寒风吹得考生直跺脚，还要担心卷子被吹跑 海客新闻的秒拍视频,2021/4/5 21:09,"评论
848",虽然但是好好笑哦哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,交个卷子得跑二百米！,这样的企业也是挺硬核,值得鼓励，防止作弊,想当年，小学初中高中就是这样考试过来的,好好抄一抄华夏的作业！#先锋集团网信理财诈骗750亿# 就不要抄了！,这也是一种方法！,其实这个考试就不应该现在举行的，虽然看起来……还挺好玩,考生：作弊太难了,这下想抄都抄不了,感觉像在古代考试一样,上次参加这样的考试还是小学的时候,奇葩韩国！我又从迷茫的生活中找到了笑点,0作弊,够硬核,中国用了两个月基本控制了疫情，国外两个月被疫情控制了，所以还是中国好，举国之力来控制疫情,也挺好。。。,这,,
,,,,,,,,,,,,,,,,,,,,,,
【致敬无言战友#武警悼念13只功勋犬#】清明时节，几名#武警带军犬祭奠逝世功勋犬#。在深圳东边的山上埋葬了13只功勋犬，它们有的为救哨兵与毒蛇搏斗，有的曾查获毒品、枪支，有的立过二等功。每年清明，武警官兵总会来陪陪它们，向无言战友致敬！网友：看哭了，它们也是英雄！央视军事的微博视频,2021/4/5 20:34,"评论
2585",无言的英雄,这就是战友。,它們也是英雄。,致敬无言的英雄最忠诚的朋友战友,我一直特别喜欢狗狗，它们是人类的好伙伴。之前好像是那个泉州（我记得是）隔离酒店坍塌，很多搜救犬一直工作爪子上的肉垫都刨烂了磨烂了，好心疼。最忠诚的无言战友勇敢的无言英雄,狗狗不能是食物！！！,战友，谢谢你们,致敬,致敬,我们最忠诚的无言战友,忠诚的战士,无言亦英雄，军犬需感念,致敬英雄，狗狗很忠诚的，它们是我们最忠诚的朋友。,可是还有人想吃它们的肉...深圳禁食猫狗还有一堆人有意见...,他们也是英雄,这真是无言的战友，并且永远不会有背叛,狗狗普遍很通人性，狗子真的是忠诚的朋友，所以，请不要吃狗肉！,(它)也是为人民服务的无名英雄！,它们也是英雄,
,,,,,,,,,,,,,,,,,,,,,,
【#西班牙新增6023例新冠肺炎#，#西班牙累计130759例新冠肺炎#】据西班牙卫生部5日公布的数据，西班牙较前日新增新冠肺炎确诊病例6023例，新增死亡病例674例，累计确诊病例达130759例，其中12418人死亡，38080人治愈出院。为了进一步遏制疫情，西班牙政府也于4日表示，将向议会申请将国家紧急状态延长至4月25日24时。（姜波）,2021/4/5 17:45,"评论
471",我现在知道感染病毒是不分种族的，但是抗击病毒绝对分种族,从未有过拐点…,世界新冠疫情呈现一超多强局势,相比之下中国真好啊，他们没有像我们一样伟大的人民,我们真是高估了某些国家对抗疫情的能力,可怕的美国特朗普病毒,斗牛士也不是病毒对手。。。,西班牙这数字太喜欢反复了，真害怕又升上去，之前好不容易有几天六千的，一下子又九千多,这个是医疗体系崩溃的感觉。。。,我想打一下圆圆的脸,很遗憾欧美这些国家抄不好作业，这个世界上毕竟只有一个中国。,国外这增长速度真的让人害怕,西班牙[加油],关注河北沧州：人大代表造假，质监局保护，#超百亿假冒伪劣产品流入中国通信行业#长达数年的被封口事件，任丘市伟阔通信器材有限公司相关人齐秋柱张爱玲夫妇再次设陷以100万封口无果之后，河北市场监督局以没有搜查权职责有限，拿农用产品报告糊弄通信器材，星星之火可以燎原，麻烦各位顶一下,国外绝大多数国家都还没到拐点 不知将来要飙升到几百万,没有对比就没有伤害 爱我中华,病毒的智力和生命力都低于人类，人类的缺点是过于自负。自古以来，瘟疫造成的死亡都高于战争。,唉 早点好起来吧,,
,,,,,,,,,,,,,,,,,,,,,,
【约翰斯·霍普金斯大学：#全球单日新增病例数首次超10万#】美国约翰斯·霍普金斯大学5日发布的全球新冠疫情最新统计数据显示，全球单日新增确诊病例数首次超过10万例，累计确诊病例数已超过120万例。数据显示，全球4日新增确诊病例超过101500例。截至美国东部时间5日2时44分（北京时间5日14时44分），全球累计确诊病例达1203923例，累计死亡64795例，累计治愈247273例。,2021/4/5 17:37,"评论
514",美国就闹腾吧，还真是啥也争第一,也不知道特朗普个小老头怕不怕,问题来了，美国的流感呢？突然消失了吗？,可怕的特朗普病毒,单日超我们整个确诊人数,源头到底在哪儿？害了全世界,有些人被永远困在了2020，逝者安息，生者发奋，没有一个冬天不可逾越，没有一个春天不会到来！,美国一下涨了3万多，，简直吓死人,快点结束吧,特朗普今天慌了吗,庆幸自己是中国人，生在自强不息的中国,【约翰斯·霍普金斯大学：#全球单日新增病例数首次超10万#】美国约翰斯·霍普金斯大学5日发布的全球新冠疫情最新统计数据显示，全球单日新增确诊病例数首次超过10万例，累计确诊病例数已超过120万例。,美国占了一半,只要特朗普在，病毒就不会退散。他可真厉害,美国是功臣，再接再厉,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#长江大桥下的武汉春天#】4月5日，武汉汉阳江滩，市民来到长江江边散步、健身、放风筝……#还有3天武汉解封# ，9图感受已是春天的武汉↓↓（人民日报记者 胡润新）,2021/4/5 17:35,"评论
1016",春暖花开，一切都在回归正轨！,？不是小区还没解封吗,春天到了,武汉是座英雄的城市，重新焕发出顽强的生命力,我就想问一句，小区没解封，这都是怎么跑出去的,就像是一场梦,看着很美好啊,复苏中的武汉，不止有东湖和樱花，还有独特的市井喧嚣绚烂过烟花。当街头出现穿着睡衣买菜的大叔，把葱往腋下一夹；街边生火炒菜的小贩，有着蓬松的头发；还有在无人处翩翩起舞的大妈…看到他们，你就知道，那个熟悉的武汉回来了，是它就是它！@朱广权,一面正面宣传这种外出游玩的，一面又让大家少聚集，所以我们到底该怎么样？,春暖花开，一切都在回归正轨！,春天来了，一切都会好起来的！,武汉苏醒了,是春天来了啊,春暖花开 万物复苏,武汉大地重展笑颜,春暖花开 万物复苏,都会好起来的,疫情快点结束吧！期待春暖花开,,
,,,,,,,,,,,,,,,,,,,,,,
【#北京疫情防控在短期内完全结束是不可能的#】4月5日下午，第72场北京市新型冠状病毒肺炎疫情防控工作新闻发布会召开。北京市委宣传部副部长徐和建表示，首都北京疫情防控形势依然严峻复杂，不可掉以轻心。有两个关键词值得重视，一是疫情防控常态化。首都北京疫情防控在短期内完全结束是不可能的，很有可能较长时间处于疫情防控状态。因此，顺应疫情防控常态化特点，仍要坚持外防输入、内防反弹策略，科学准确分析疫情走向，坚持严防死守，精准防止。第二个关键词是紧抓窗口期。全国范围内和北京市基本阻断疫情传播，疫情防控总体可防可控可预期，现在是在确保疫情防控前提下，加快复产复工、全力以赴恢复正常生产生活的窗口期，要紧紧抓住，不可错失良机。（北京青年报）,2021/4/5 17:12,"评论
1193",回答市民三个问题：一、什么时候开学？是不是本学年直接没了？二、什么时候图书馆、博物馆、剧院恢复开放，还是今年都不打算开了？三、什么时候中止返京人员的重复居家观察14天，还是永远都不停下了！,北京人民辛苦了！,请问徐部长，长期是个什么概念？防疫是个什么标准？什么样的指标或者条件就能解除防疫？武汉4月8号都解封了？1300多万北京市民到底在为谁隔离？所有的损失谁来买单？其实，你心里明白着呢？,这学期不开学的意思？,毕竟是国门。。。。不好放松警惕,官员说一句常态化就完事了，老百姓的生活谁来管？正常的疫情防控大家都能理解和支持，但现在是很多疫情关联不大的事情也都一律停止，政府要常态化，能不能先为老百姓想想准备好了吗？此次疫情最严重的武汉，封城停业结束，现在已经在一步步恢复了，北京从疫情防控之初的政策到现在还一成不变，就是懒政,北京不开，天津就不能开,赶紧给我把小区解禁了，干啥啥不行，都是在北京待了一两个月的人了，有什么好设防的，把机场管好就得了,“中国总是被他们最勇敢的人保护的很好。”——基辛格《论中国》,是，靠动员来检测，不愿意检测就可以不检测，那是结束不了。。。,全国疫情最严重的时候，北京非疫区不用隔离，现在全国疫情好转了，北京坚持到底，这工作，表现真优秀,别带河北！,不能这么一刀切啊，我们也只是生活在北京的普通人，家里老旧小房子年久失修，水电线路老化，真担心存在安全隐患，年前就定好装修公司进行水电重铺，等了两个月了没敢动，真的拖不起了，装修款房租全都压着，房子住也没法住,北京不用开学了,意味着复工 开学又要延迟了,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#钟南山呼吁公众继续保持距离#】本周，中国工程院院士钟南山通过世界卫生组织，给大家提醒：不管是在居家、公司或者是公共场所，保持一定的距离非常重要。当前不要参加集会，也不要聚餐。低风险不等于无风险。随着返工复工的进行和学生陆续复学，大众依然要高度注意个人卫生健康习惯。世界卫生组织的微博视频,2021/4/5 16:49,"评论
2579",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"【详情通报！#北京一新增输入病例曾在小区居家停留#】4月5日下午，第72场北京市新型冠状病毒肺炎疫情防控工作新闻发布会召开。北京市疾控中心副主任庞星火通报了昨日境外输入确诊病例情况。庞星火表示，4月4日，本市新增报告境外输入新冠肺炎病例1例。
某女，无业。2019年9月前往英国伦敦探亲。2020年3月19日，与丈夫乘坐国航CA938航班从英国伦敦出发，20日到达北京首都机场。抵京后，夫妻经海关检疫，申报健康无异常，遂至集中医学观察点进行隔离观察。25日，隔离点动员隔离观察人员进行新冠病毒核酸检测，夫妻均未参加。30日晚，该女士出现咳嗽、咳痰、恶心、精神不振等症状，自行服药，在工作人员询问其健康状况时未报告。4月3日，夫妻解除隔离，由集中隔离点车辆转运至市内集散点，后由家人驾车接回小区，在小区保安处出示隔离证明、进行登记、测体温后回家。3日晚患者出现高热，达39℃，4日上午由家人驾车送至北京朝阳医院就诊，采集患者标本进行新型冠状病毒核酸检测，结果呈阳性，即由120救护车送至定点医院治疗。结合患者境外旅居史、肺部影像、血液检查等诊断依据，4日诊断为确诊病例，临床分型为重型病症。已对密切接触者采取相应管理措施。
庞星火表示，患者在隔离观察期间出现症状，在工作人员询问时未报告，导致延误治疗，就诊时已发展为重型，进入重症监护室治疗。
庞星火提示大家，在医学观察期间出现任何身体异常，均要及时如实报告健康状况，否则可能延误治疗时机，甚至增加传染他人的风险。（北京青年报）",2021/4/5 16:34,"评论
4123",不接受核酸检测怎么做到的？自行服药怎么做到的？故意隐瞒，北京政府准备怎么处理？,隔离点。为什么没有强制进行检测 是不是有失职行为 不能说没检查 就躲过去了 那以后隔离点的人 都不检查 怎么办呢。,感觉这个集中隔离的检查好敷衍,我想问北京到底在干嘛？不应该强制核酸检测？？？还自愿？还能隔离期结束？？？,某女？我第一见这种报道，原来都是王某，李某，张某，多少岁。这个，某女，无业？,这种人就不该回来,防疫抗疫大张旗鼓，她不知道危害吗？对自己不负责任，对亲友不负责任，对社会不负责任！明知故犯，还救她干啥？浪费资源！,不完全停航就别想完全抗疫成功。,你他妈都有症状了还不上报，诚心回来害人？,这位女士有问题很明显了。但是，为什么她可以没参加核酸检测就被放出来，正常流程是隔离期间连续两次核酸检测为阴性才可以到时间了办手续结束集中隔离的。,原来从英国回来，集中隔离，要做检查还可以自愿选择的？帝都厉害！,统一隔离，然后没有参加核酸检测？？？14天后解除隔离。统一隔离可以不参加核酸检测的吗？也就是说统一隔离期间，没有症状就可以不检测核酸。14天后就可以解除隔离自由活动回家了？？？这不算疏漏吗？？？,25日组织核酸检测 俩人未参加 这什么路数？不强制？,帝都政策不是写入境100%核酸检测？帝都每次都是写写吧,检测核酸还要看自愿？太儿戏了吧,如何逃避核酸检测的？,这种人回来干嘛？一定要严防境外输入啊，昨天才哀悼过那些牺牲的人，我们不要让他们的努力白费好吗？他们没有第2条命可以给我们了,？？？,所以她觉得自己不去医院能自愈？那她回来干嘛？留英国宅到自愈了就好了呀,这种人，还是死了算了。反正都重症了
,,,,,,,,,,,,,,,,,,,,,,
【#中国没有也不会限制医疗物资出口#】针对中国是否会限制关键医疗物资出口的问题，商务部外贸司一级巡视员江帆表示，中国有句古话叫“滴水之恩，涌泉相报”，我们不会忘记在抗击疫情之初，许多国家对我们施以援手。因此在中国疫情防控形势向好，国外疫情加速蔓延之际，我们愿意在做好国内疫情防控的基础上，对有关国家和地区提供我们力所能及的支持和帮助，加倍回馈国际社会，因此中国没有也不会限制医疗物资出口。 人民日报的微博视频,2021/4/5 15:33,"评论
738",我们不但要卖，还要高价卖给美国！！,在与病毒的战争中，意大利迎来了拐点，中国走到了终点，美国找到了起点，从特朗普身上找到了笑点,我语文不好，但我会写中国！ 我英语不好，但我会读China！ 我地理不好，但我知道地图上的雄鸡！ 我数学不好，但我记得960万平方千米 我历史不好，但我永远不会忘1949！ 此生不悔入华夏,大国风范,这才是大国风范,大国风范,大国风范，君子作风，心胸开阔，世界典范,对于那些曾经帮助过我们的国家，我们可以施以援手，对于那些咳咳，落井下石的，抱歉请花钱,可以卖，但是谨防白眼狼,大国之风！身为中国人感到骄傲！感恩！,美国无限量化宽松印美元，中国企业抢美元订单，无限向美国出口民生物资，然后中国政府积累一大堆美元白条。然后美国政府控告中国政府宣布没收中国持有的美元国债。中国人民几十年创造的物质财富养活美国高福利加庞大军备，最后让美元废纸摧毁中国经济基础？！,赚小钱钱啊,中国在做好自身疫情防控工作的同时积极驰援各国抗击疫情，为全球战“疫”传递了中国力量！只想说: 我们的民族是英雄的民族！我们的国家是英雄的国家！,中国口罩质量最差，你们别用，留给我们就好！,这就是大国风范！,警告那些起刺儿的国家：don't 哔哔，爱 buy 不buy,如果觉得中国口罩不行 自己解决吧,,,
,,,,,,,,,,,,,,,,,,,,,,
【来了！#生死金银潭英文版#】从2019年12月开始，武汉市金银潭医院站在了风暴之眼。#连续36天跟拍武汉金银潭医院#，记录下那些生死时刻。最新英文版，收藏观看↓↓↓ 人民日报的微博视频,2021/4/5 14:57,"评论
1140",比电影还高级！要宣传出去！发到外网去！,有中文版吗叫什么,这才是真正的人权，让那些西方的傲慢与偏见的人好好看看！,看得太难受了，一个人的生命可能在短短的几个小时之内就发生了翻转，医生对病人逝去的惋惜与自责，没有一颗强大的内心是无法承受这些的。致敬我们的医护人员，感谢他们一直为我们负重前行，也感谢他们让生命有了可能,非常好，与中文版的纪录片内容一样，这才是真正发生的事实，是中国人自己救自己的最真是的事实，所有人都是最可爱的人!,看了太感动了 看哭了,这一次认认真真看完后真的很感动很爱我们这个国家也衷心盼山河无恙！！,高极像电影的感觉，向医护人员们致敬,泪目多亏了这一群群平凡而又非凡的白衣战士，没有你们的医者仁心和逆行的勇气，这场战役没有那么容易战胜，你们是这个时代的护佑者！你们的存在给了所有普通人一份“唾手可得”的心安理得！,感人至深！历经劫难，愿余生都平安,他来了，他来了，总算盘到了,有没有语言也是英文版的?,可以发到外网,致敬每一位医护人员,#方方小产权别墅转正获利千万# 又贪污，又造谣，用特权还把人写死了,我存下来 发油管,还是要发出去 发不发是我们的事 信不信是他们的事 我们发了真实情况就别再说我们隐瞒欺骗,往推特，YouTube发吧，咱们媒体该转守为攻了。让他们美国人看看。,致敬所有医护人员！感恩！,
,,,,,,,,,,,,,,,,,,,,,,
