"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
,,,,,,,,,,,,,,,,,,,,,,
"【安徽#黄山景区向全国医护免票一年#】为致敬抗击疫情中全国医务工作者的无私奉献精神，黄山市文化和旅游局联合黄山风景区管理委员会、黄山市古徽州文化旅游区管委会，黄山旅游发展股份有限公司、黟县徽黄旅游发展（集团）有限公司、黄山京黟旅游开发有限公司等共同发起倡议，黄山市全部A级景区（49家54处）自恢复运营之日起一年内，对全国医护工作者实行门票免费优惠政策。市域内其他非A级收费景区和《徽韵》演艺项目也向全国医护工作者实行免费政策。
黄山市所有A级景区免费优惠政策信息
优惠对象及内容：
全国（含港澳台地区）医护工作者凭本人有效证件（医师证或护士证）及身份证原件，可享受黄山市所有A级景区门票免费优惠政策。
优惠时间：
景区自恢复运营之日起一年内。
参与景区名单：
5A级（3家8处）：黄山风景区；皖南古村落—西递、宏村；古徽州文化旅游区—徽州古城、棠樾牌坊群.鲍家花园、唐模、呈坎、潜口民宅。
4A级（22家）：花山谜窟、东黄山度假区、翡翠谷、太平湖、九龙瀑、新安江山水画廊、雄村景区、齐云山风景区、赛金花－归园景区、南屏景区、牯牛降、芙蓉谷景区、丰乐湖、新安江滨水旅游区、黄山虎林园、打鼓岭、古城岩、新四军军部、历溪景区、黎阳in巷、屏山景区、祥源-祁红产业文化博览园。
3A级（15家）：石门峡景区、许村古村落、三溪风景区、木坑、九龙池、徽州大峡谷、黄山麟圣古文化园、徽州糕饼博物馆、松萝茶文化博览园、徽茶文化博物馆、见明堂博物馆、金紫祠景区、山中天谷景区、徽州印象博物馆、黟县古城景区。
2A级（9家）：程大位故居、戴震纪念馆、上丰花果山、夹溪河漂流、木雕楼、五里景区、深冲景区、北岸瞻琪景区、丝绸文化博览园。",2020/2/14 20:38,"评论
10108",大美安徽，迎客天下，安徽黄山欢迎大家武汉加油，中国加油,好样的！,疫情结束来安徽玩哈 安徽欢迎你们,我觉得非常可以，医护人员非常辛苦,支持啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,医技呢？？医院不是只有医生护士啊,黄山硬核！人性化举措！,作为安徽人 但是黄山却只去过一次 就一次也给我留下深刻的印象 真的超级美 傍晚坐缆车下来的时候那半山腰的景色一辈子都难忘 大自然的美真的很神奇,支持！,建议全国推广！！真棒,黄山人杰地灵，景点众多，期待疫情结束，欢迎来黄山游玩,全国人民应该免费一次,医技人员不包括么？医技人员不算医护人员么？,好棒！！安徽起表率作用！！,黄山人来这里说说，你最想推荐黄山的什么,药剂师算吗？,一生痴绝处，无梦到徽州,,,
,,,,,,,,,,,,,,,,,,,,,,
【习近平主持召开中央全面深化改革委员会第十二次会议强调 #完善重大疫情防控体制机制# #健全国家公共卫生应急管理体系#】中共中央总书记、国家主席、中央军委主席、中央全面深化改革委员会主任习近平2月14日下午主持召开中央全面深化改革委员会第十二次会议并发表重要讲话。他强调，确保人民群众生命安全和身体健康，是我们党治国理政的一项重大任务。既要立足当前，科学精准打赢疫情防控阻击战，更要放眼长远，总结经验、吸取教训，针对这次疫情暴露出来的短板和不足，抓紧补短板、堵漏洞、强弱项，该坚持的坚持，该完善的完善，该建立的建立，该落实的落实，完善重大疫情防控体制机制，健全国家公共卫生应急管理体系。,2020/2/14 19:20,"评论
477",支持中央的决定,坚决拥护党中央的正确领导！,以后再也不抱怨堵车了，那才是国泰民安，再也不嫌人潮人海了，那才是繁华盛世，再也不抱怨工作辛苦，工作的辛苦远比懒惰的生活更让人幸福，任何事物只有动起来才有价值，愿山河无恙，众生皆安。,主席辛苦了,必须落实中央政策[加油],开始总结经验和教训了,主席中国人民有信心打赢这场战！,坚决支持！！！,更要放眼长远，总结经验、吸取教训，针对这次疫情暴露出来的短板和不足，抓紧补短板、堵漏洞、强弱项，该坚持的坚持，该完善的完善，该建立的建立，该落实的落实，完善重大疫情防控体制机制，健全国家公共卫生应急管理体系。,卫生真的很重要，不能拿生命开玩笑,支持政府,推动国家治理体系和治理能力现代化,主席辛苦了,要有新局面了,相信国家,勤洗手、戴口罩、常通风、勤锻炼、不扎堆、讲礼仪、稳心态、树信心、不信谣、不传谣,这才是最重要的,一定能过去,加油我的祖国 一切都会好起来,中国加油！
,,,,,,,,,,,,,,,,,,,,,,
【民政部：#慈善组织红十字会要加快工作节奏#】14日，民政部发布开展疫情防控慈善募捐等活动指引，要求慈善组织、红十字会加快工作节奏，建立快速便捷的分配通道，与疫情防控定点诊疗医院等接收单位有效对接，做到“快进快出、物走账清”，第一时间将捐赠款物送到一线，防止捐赠款物积压。不允许捐赠人以定向捐赠的名义指定其利害关系人作为受益人。网页链接,2020/2/14 19:07,"评论
1616",唉……咋说呢……这个组织能不能取消,红十字加快吧，再快点就看不到证据了,武汉这次疫情用一个字概括就是 慢 通告疫情慢 红会分发慢 组织协调慢 怎一个慢字了得,对红十字都没有信任和好感了,红十字会烂透了,@铁路网 铁哥过来,谢谢郭美美,你发任你发，反正我不会捐一分钱到任何红会,第一时间将捐赠款物送到一线，防止捐赠款物积压。,红十字会？拉倒吧,所以，武汉红十字会问题查清了吗？？？@人民日报,红十字会的事怎么样了？？是不是以为网友都忘了？,现在听到红十字会这几个字就觉得很不靠谱,我们县的红十字还明细到小数点后两位在公众号发布呢！大武汉这次真的,能听取群众合理意见和诉求，并且及时作出回应和整改，信任便是这样建立的,加快吧真的，还需要人力物力可以说，别再耽误物资的分配了,红十字会的是解决了吗？,,,
,,,,,,,,,,,,,,,,,,,,,,
"#湖北累计接收社会捐赠资金108亿#【#湖北接收社会捐赠情况公告#】为支援湖北新冠肺炎疫情防控工作，社会各界慷慨解囊，踊跃捐赠。现将接收捐赠和分配情况公告如下：截至2020年2月13日12时，全省累计接收社会捐赠资金1,080,938.13万元。其中，省本级525,563.09万元，武汉市419,452.65万元。截至2020年2月13日12时，全省累计接收社会捐赠物资5,638.18万件（套、个、瓶）。其中，医用防护服55.29万套，N95口罩100.79万个，医用（外科）等口罩类2,157.64万个，护目镜和防护面罩51.97万个，消杀防护类279.67万件（瓶）。
定向捐赠资金、物资按照捐赠方意愿陆续直接送达、拨付到接收单位或地区。非定向捐赠资金按《湖北省应对新冠肺炎疫情社会捐赠资金分配使用办法》分配，其中省本级已分配下拨非定向捐赠资金411，092万元，占省本级接收非定向捐赠资金总额的97.24%；非定向捐赠物资由各级新冠肺炎疫情防控指挥部根据病人救治和防控工作统筹供需分配，其中省本级已分配调拨国内非定向捐赠物资137.24万件（套、个、瓶），占省本级接收国内非定向捐赠物资总量的98.43%。据统计，省本级接收的2007.27万件（套、个、瓶）境外捐赠物资已全部分配下拨。
捐赠资金和物资的具体接收和分配情况由接收捐赠主体（各级红十字会、慈善总会和湖北省青少年发展基金会等）在其门户网站公告。湖北省应对新冠肺炎疫情接收社会捐赠情况公告（第5号）",2020/2/14 18:42,"评论
1077",请务必合理分配,透明就行 希望都用在刀刃上,几天没盯着看了，红十字公开了吗,红十字会的物资下发了吗？希望物尽其用,资源合理配置，优先考虑前线，拜托了,我们需要支出的明细,然而湖北像个黑洞，全球都在帮忙，还是不够,请公示使用明细,一定要用在医护人员身上，他们是最辛苦的,108亿口罩还是？别又算错了,吃鱼吗？评论区杠精负责挑刺,湖北仿佛真的和108有缘,大家都在支援武汉一定要挺过去！,……108亿,为什么一线医护还是没有资源？？,108是个神奇的数字...,那为什么还缺物资？？？,谢谢捐赠！但好像湖北的物资还是挺缺的……,,
,,,,,,,,,,,,,,,,,,,,,,
【谢谢！#金银潭医院迎首位自愿献血者#】今天下午两点左右，新冠肺炎康复者施女士来到武汉市金银潭医院，在与医护人员沟通，并填写完相关资料后，两点半开始捐血。她是首位前往金银潭医院自愿捐血的康复患者。施女士2月5日确诊新冠肺炎，从武汉市第八医院转到金银潭医院接受治疗，2月9日治愈出院。她的爸爸于2月3日确诊，目前仍在金银潭医院接受治疗。她看到金银潭医院院长张定宇呼吁：“恳请康复后的患者积极来到医院，伸出胳膊，捐献血浆，共同拯救还在与病魔作斗争的病人”的新闻后，决定来医院捐血浆。目前，包括研究机构、医院呼吁：新冠肺炎康复者年龄在18-60周岁，确诊感染过新型冠状病毒，出院后目前身体状况较好，没有其他不适，并愿意捐献出自己的血浆帮助他人，可携带本人身份证和出院小结联系血浆捐献点献血浆，帮助更多患者。中国之声的微博视频,2020/2/14 18:24,"评论
2408",谢谢你们了 加油,知恩图报，这才是人性！,什么时候才能听到国家宣布疫情解除，想去学校喝奶茶，吃烤冷面，臭豆腐，铁板土豆，关东煮，麻辣烫，炸鸡腿……一线的医护人员们一定要保护好自己！我们一定会成功,谢谢谢谢,感谢 一生幸福,感谢！呼吁康复后身体状态良好的人捐献！,我觉得，只要是身体允许，应该毫不犹豫捐血浆，要是我我肯定会这样。换位思考下，国家和医护人员用自己生命守护了你，你有幸痊愈出院，但还有那么多在死亡边缘的患者，如果痊愈的不是你，你是那个等待血浆救援的人，你希望痊愈的患者来挽救你生命吗？,感谢你们！！！呼吁康复后身体状态良好的人捐献！,这位姐姐就是普通而又善良美好的人。愿疫情早日结束，好人好运，一生平安。,谢谢呀,谢谢你们 满满的正能量,激动 是不是我们就快胜利了,之所以捐献者少，很多感染者是因为本身条件不符合捐献要求吧,衷心感谢您！施女士，希望您看到！,希望血浆能给她爸爸输点，别像口罩不知道哪去了,这个美女姐姐估计能活120岁。,国家免费给你治好，自己身强力壮等自己身体养好了献点血真的扯不到道德绑架，医生冒着感染风险给你治疗，你的血浆快速治好他人，这也是降低医护人员感染风险，这叫知恩图报！！ 当然现在也有物质奖励，希望建立更加积极的激励机制。,,,
,,,,,,,,,,,,,,,,,,,,,,
【紧急预警！疫情期#严禁任何形式线下培训#、#不得开展超前超限超纲在线教学#】教育部官网消息，近期有个别地区的校外培训机构在线下组织所谓的补习班、冲刺班，有的培训机构打着“响应教育部号召”的旗号向幼儿园推广付费超纲网课，已被当地教育部门依法取缔查处。疫情期间，严禁开展任何形式的线下培训，不得举办任何形式的聚集性培训活动。线上培训也要严格按照有关规定规范开展，不得违规组织开展超前超限超纲在线教学。对顶风作案者，将给予最严厉的惩处。,2020/2/14 17:27,"评论
949",上网课就算了，还天天布置作业打卡，一天就要写七科啊 真的适当吧,不上网课行不行啊,幼儿园网课？？疯了吧,你之前停课不停学的时候怎么不说这话呢,那网课能停吗？反正暑假也要补的,虽然我嘴上说着想上学，但是要是让我马上去，我还是不愿意的。,学校一直占便宜 我们却占不到学校的便宜,如果要延迟开学利用周末暑假补课那就取消网课吧,可是学校什么时候听话过？,老师组织的网课呢？？？！,如果要扣暑假那上什么网课,我们公司 呵呵 天天填表 各种表填了一遍又一遍 还线上考试 ..,如果非要上网课，毕业班上就可以了，没必要幼儿园和小学都上。我教小学二年级，也是班主任，心疼我班娃们。大家防疫够心烦的了，家长又上班也要监督孩子，带娃的老人们还得吃力的研究各种上课的app，教育部就是在增加焦虑，简直就是防疫工作中的搅屎棍。,就不能取消网课吗,现在休息暑假补课也不错的,能不能不上网课,网课完全没效果好不好，完全的形式主义,每天网课比上班还累，真的有学校听吗！！？？？,,
,,,,,,,,,,,,,,,,,,,,,,
【好消息！#武昌方舱医院26名患者康复出舱#】继第一批28例新冠肺炎患者康复出院后，2月13日下午，武昌方舱医院再有26例患者顺利出舱。通过对临床症状的观察、影像学评估和核酸检测，这些患者均达到出院标准。据介绍，这批病人多数将返回家庭继续隔离观察，家中条件暂不适合的将由社区统一安排到指定酒店隔离。武昌方舱医院医疗队长马永刚介绍说，这些轻症患者出舱后，接受的的医疗服务并不会终止。武昌方舱医院还将定期电话回访，及时了解他们的康复情况。（任艺萱）,2020/2/14 16:38,"评论
339",好消息 恭喜出舱！！！,好消息,期望这样的消息，越来越多，加油！,希望听到越来越多的好消息！,我已出舱，感觉良好,恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜！,严重恭喜,是不是方舱医院出院的，相对来讲，会有比较多的人的身体能适合捐献血浆呢,希望好消息越来越多！,好消息会一天天增多,这次疫情有6个提示：1.记得存钱，不然失业了吃喝都是问题2.能买房别犹豫，特殊时刻只能待自己房子3.好好工作，别抱怨辛苦，是你离不开工作4.自由职业者，在家办公不要羡慕，现在知道什么滋味了5.买辆车，关键时刻，还能保护你6.枪响之后没有赢家，只有平衡被打破和打破后的哀鸿遍野,希望听到越来越多的好消息！！！！,好消息会越来越多的,好消息越来越多了,#河南各类学校3月1日以后开学#,恭喜出舱！！,如果方仓医院只有出院，没有入院，那更好了～,武昌方舱医院26名患者康复出舱,,
,,,,,,,,,,,,,,,,,,,,,,
【袁隆平高科技股份有限公司捐赠200吨大米运抵武汉】2月14日，一辆辆满载大米的货车从货场陆续驶出，驶往武汉市蔡甸区。据了解，该批物资是袁隆平高科技股份有限公司捐赠给武汉市蔡甸区的200吨丝苗米，将为该区抗击肺炎疫情发挥作用。2月13日0:30，编挂有3节满载200吨大米车辆的42020次列车，从湖南省益阳火车站出发，一路绿灯，飞驰400余公里，在当天11：26安全抵达中国铁路武汉局集团公司汉西车务段吴家山站。对这批重点物资，吴家山站以党员突击队员为骨干的调车、运转、货运职工提前待令，盯控编挂重点物资列车运行动态，并提前通知收货方，等列车在车站股道内停稳后，相关人员在车务段安全指挥中心、车站值班干部的指挥下，迅速行动、密切配合，及时将大米临时卸到快货1线仓库内。今日，又全力配合收货方转运，确保重点物资运输衔接有序、便捷高效。 （苏庆丰、汤万意）,2020/2/14 16:21,"评论
19368",袁隆平院士，牛逼,袁爷爷牛逼！,致敬袁隆平爷爷，您的大米真的很好吃。,感谢袁爷爷 希望你身体健康,日本评论：中国向世界展示出几乎与美国并肩的战争动员能力。空运是日本的四倍，铁路运输是日本的九十倍，一周建上千病床的高等级战争医院，人员和物资的快速集中，数千万人的瞬间移动管制，无一不在是向世界展示了中国已经是一个不可以作为战争对手的国家，从而达到了不战而屈人之兵的目的。,只有您可以说我胖，因为吃你大米了,袁爷爷好棒 愿您身体健康,袁隆平爷爷真棒！！为您点赞！,曾经您带领我们赶跑饥饿 如今您也助武汉赶跑病毒 致敬袁爷爷,不亏我语文作文里永远的c位呜呜呜呜,袁隆平爷爷太好了。爱袁隆平爷爷，辛苦啦,细看麦田千重浪，最是风流袁隆平。稻来!,我妹妹居然问我他哪来的这么多大米,其实也很不理解，一样做好事，东北黑龙江3000顿大米不配热搜让全国人民知道？,致敬袁老,袁爷爷牛逼,,袁爷爷民族英雄,,
,,,,,,,,,,,,,,,,,,,,,,
【#确诊疑似病人不应戴呼吸阀口罩#】#呼吸阀口罩有没有风险#？中国疾控中心研究员冯录召表示：呼吸阀式口罩是单向阀门，呼出气体可排出气体，排气过程中因为没有过滤层，如果病人佩戴这种口罩可能会病毒排出，确诊或者疑似不应佩戴此类口罩。 人民日报的微博视频,2020/2/14 16:01,"评论
6417",我真的搞不懂都要延迟开学暑假来补还要上网课，这样家长累学生累，老师更累,普通口罩我都还买不到呢……,有个戴的都不错了…,嫌弃有人带呼吸阀的人 你们出门自己都不带口罩吗 为什么啥都指望别人,大家都带口罩，你管别人带哪种呢，都什么逻辑。。。。即便人家无症状携带者带呼吸阀口罩，你们带的口罩就是摆设了吗？都是带口罩，这样还搞出歧视了。,那个口罩太贵了，买不到，也买不起,如果大家都戴了口罩，口罩也真的能保护自己，那自己带好口罩保护好自己就行了，别管别人戴哪种…,我只有这种……也没办法啊，都是疫情前为了防pm2.5买的剩下来的。从来没买到过医用口罩。,我只有呼吸阀的，不戴这个戴什么。。。老百姓有的选择吗？现在能买到别的口罩吗。。。。看到呼吸阀害怕的话离远一点好了。。。反正正好我也不想别人离我近,有口罩就不错了，满大街的假货,天天说这个那个，首先你得先有口罩,前提是要有，但是我也买不到啊,能不能买到口罩都是个问题。,不知道偏见哪里来的一次性外科口罩侧面还漏风呢怎么不说，每种口罩都有它存在的理由，不要一票否决,恕我直言…有口罩就不错了…,他们也想戴正确的口罩吧…,对健康人来说没事啊 如果没有呼吸阀，那些呼吸不太好的人会憋闷的不正常。这只是针对在比较严重的地区或者患者来说不太好，最好不要带。其他人别整天带节奏，现在能买到口罩不错了,那就禁止销售这种口罩好了，为了防止疫情扩散,,
,,,,,,,,,,,,,,,,,,,,,,
【严打！#河北查获野生动物310只#，涉案价值24.91万元】近日，河北各地森林公安机关坚持以零容忍的态度，对破坏野生动物资源违法犯罪行为露头就打，迅速形成了高压严打态势，有效遏制了涉野生动物违法犯罪的发生。截至2月5日，全省共出动森林公安警力2783人次，车辆1568台次，会同有关部门摸排重点地区和部位3777处，办理刑事案件1起，查处行政案件2起，抓获犯罪嫌疑人3名，查获野生动物310只，涉案价值24.91万元。（人民日报记者史自强）,2020/2/14 15:41,"评论
3584",吃野味和卖野味联系判刑,吃野味 炸双肺,为什么还有人在卖！丧尽天良,罚钱了事很难杜绝野味，毕竟有人不差钱。建议入刑！,都这样了，还有人买卖野味？想啥呢？能骂人吗？,这些人还没醒？？？？？？,这个时候还敢吃，疯了疯了必须严惩,早就该好好查查了，吃一堑不长一智,一定要杜绝野味市场！！！！,永远禁止野生动物交易，代价不够惨痛嘛？,河北捐款捐物，都上不了热搜，只要是这种事，肯定上热搜,抓起来喂蝙蝠,今儿河北的新闻都这么给力,可恨可耻！,严惩啊！！！,严查！！！,我们河北人一样唾弃这样的人渣，不希望在热搜上看见河北是这些负面消息了,拒绝野味,真是顶风作案啊！,
,,,,,,,,,,,,,,,,,,,,,,
"【好消息！#河北首例确诊患者治愈出院#】2月14日上午，河北省石家庄市第五医院两例重型危重型患者治愈出院。其中，患者李某，72岁，武汉人，是河北省首例确诊病例。本人因“咳嗽、发热”于1月21日转入市五院。1月22日，经检测为新型冠状病毒肺炎确诊病例。

后来因肺部病变范围扩大，该患者曾一度休克，转为危重症。经过医护人员和专家的奋力抢救与治疗，自2月初开始好转，后经省市专家会诊由重症转为普通型。经过20多天的治疗，患者各项指标符合出院标准。

“我非常幸运，可以在石家庄市第五医院得到这么好的照顾和治疗，这么多天来，感谢全体医护人员对我的照顾。”患者李先生激动地说。

对于危重症患者和重症患者，石家庄市第五医院成立专门重症救治团队，严格按照最新版诊疗方案，省市专家每天会诊指导，针对病情变化，及时调整诊疗方案，并采用中西医并重为他们进行诊治。这例72岁的患者因原有冠心病、肾衰、陈旧性肺病等基础性疾病，一度出现呼吸衰竭、休克等危重情况，医护人员多次对其展开紧急抢救，使用无创呼吸机改善心肺功能，输入丙球和白蛋白提高免疫力。经过持续治疗，患者症状日渐好转。2月5日，该患者摆脱无创呼吸机，随后，经过几天的治疗，核酸检测转阴。

此外，另一位患者吴某，56岁，武汉人，1月22日由武汉至石家庄，就诊于河北医大二院发热门诊，1月23日，确诊为新冠肺炎，转入石家庄市第五医院ICU隔离病区，因病情发展转为重症，省市专家对症治疗。目前，经过各项检测符合出院标准。（人民日报记者张腾扬）",2020/2/14 15:17,"评论
1700",是河北首例确诊治愈！ 不是我们河北首例治愈患者啊 看清顺序啊,千里送毒的老大爷恭喜他康复。,封城前从武汉跑出来的！,这就是那个带着病毒乱跑那个老大爷吧恭喜痊愈 希望以后能提高对社会的责任感,是河北首例确诊的患者出院了，不是首例出院,国家免费给你治好，自己身强力壮等自己身体养好了献点血真的扯不到道德绑架，医生冒着感染风险给你治疗，你的血浆快速治好他人，这也是降低医护人员感染风险，这叫知恩图报！！ 当然现在也有物质奖励，希望建立更加积极的激励机制。,万万没想到，河北六支医疗队没上热搜，河北企业捐钱捐物也没上热搜，千里送毒的老爷子出院上了热搜,我们河北本来就治愈很多了，这是第一个确诊发病的治愈了,这是首例确诊的患者出院，意思是第一个的这个病的人出院了。并不是第一个出院的，第一个出院的可能是第x个患病的。望扩散,这位就是那个跟亲戚有仇的大爷啊,球球，人民日报也关注一下河北捐赠的吧！民营企业捐了6.5亿了，石家庄的四药捐了好几千万的药品，邯郸也捐赠了几百吨蔬菜等等,这个人是我...朋友的妈妈的同事的爸爸...,恭喜恭喜 越来越好了,直接说第一位被确诊的患者成功治愈不就好了，玩什么文字游戏？？？还人民日报呢……………就这水平？？？小学生都能当文字编辑了……,好消息一个接着一个,就是那个让河北地图变色的那个恭喜出院,封城前驱车跟坐高铁来的两个吗？下了车直接奔医院的那两个吗？,请各位看清标题好么。河北已经痊愈出院了70多个确诊患者了，这是首例确诊患者经过治疗后痊愈出院，不是首例经过治疗痊愈后出院的确诊患者。,,
,,,,,,,,,,,,,,,,,,,,,,
"【上海一#患者致55人被隔离出院被刑拘#】上海市公安局通报，2月13日，上海市公安局金山分局以涉嫌妨害传染病防治罪对故意隐瞒真实行程的新冠肺炎患者李某平(男,60岁，现住上海市金山区，已治愈出院）采取刑事强制措施。
   经查,1月25日, 李某平从重点地区返沪回到位于金山区朱泾镇的家中。1月26日至31日，李某平因咳嗽等症状多次前往上海市第六人民医院金山分院就诊，在就诊过程中，李某平始终隐瞒从重点地区返沪的事实。期间，其还多次出入公共场所。2月4日,李某平被确诊为新冠肺炎。现已导致55名密切接触者隔离观察,造成严重后果。2月13日,李某平治愈出院，警方依法对其采取刑事强制措施，案件正在进一步侦查中。
   上海警方提醒:当前正值抗击疫情的关键时刻,广大市民应严格遵守疫情防控法律法规,积极配合相关职能部门做好疫情防控工作,做到“早发现、早报告、早隔离、早治疗”。（巨云鹏）",2020/2/14 14:30,"评论
3092",无缝衔接,出院就刑拘不让中间商赚差价,干得漂亮,无缝衔接，该！,出了这个门，进那个门！门门有讲究！,隐瞒就算了，还故意多次出入人多的地方，,活该,活该 直接十年算了,对每个中国人来说，支持国家抗疫不是选择，而是义务！,多次出入公共场所？？？这人有病吧,"举报：湖北荆州石首市委组织部强制要求全体公职人员不论年龄一律到社区参加一线抗疫,很多不发口罩头套和罩衣，甚至让其自行奔走去另一地点办工作证①人员聚集增加感染的险②防护不足无法保障基础的健康③未考虑年龄身体状况④消耗过多人力，组织低效不科学强烈要求科学组织&发全套防护用品",出院即巅峰,从一个隔离间转到另外一个“隔离”间,到武汉去做义工吧！直至疫情结束,這人壞透了，他就是故意的,活该，都活了60岁了，还这么不懂事。,等会，刑拘之前先抽他600cc血呗,大快人心！！！,别刑拘了，直接把他血抽干,
,,,,,,,,,,,,,,,,,,,,,,
【#孙文斌案二审维持死刑判决#】2020年2月14日，北京市高级人民法院二审公开开庭审理孙文斌故意杀人上诉案并当庭宣判，依法裁定驳回孙文斌的上诉，维持原判，对孙文斌的死刑判决依法报请最高人民法院核准。@京法网事,2020/2/14 14:07,"评论
1604",不服？有脸上述？,该，还让你过了一个年。,病魔没有战胜你 法律不会放过你！,保护好我们的医生 现在临床医学要求就是高学历人才。一般成绩的学生根本学不了临床医学专业。医学是很特殊的行业，不熟悉真的不能学。医路漫漫，直博八年。本科五年，硕士三年。博士三年。规培三年。助理医师，职业医师。培养一位医生，这前前后后个人和家庭所付出的心酸和时间是常人理解不了的,还有脸上诉？,必须死刑！！！！,真的是死不足惜！,还上诉,我有个朋友希望他死,那就执行吧！,手榴弹一块钱十个的话，我先扔他一万块钱的,必须死刑，死不足惜,他居然还有脸上诉？梁静茹给他的勇气吗。,好，罪有应得,上诉是给公民的权利，你都不是个人,？？？上诉是因为觉得判的轻了？？？？,死不足惜 死有余辜,马上执行吧 完事了告诉我们一声,应该大力宣传他的死刑判决，不然人们更容易记住伤医而不是伤医的后果。伤医死刑，伤医死刑。吓死那些想动手的人,有脸上诉？
,,,,,,,,,,,,,,,,,,,,,,
【最新！#武汉定点医院病床剩余情况#】截至2020年2月13日，武汉定点医院病床使用情况↓↓@健康武汉官微,2020/2/14 12:28,"评论
1632",那个“仁爱医院”呢？不是自称也是定点收治医院吗？,变好了 透明了,床位还是挺缺的……,武科大附属天佑医院，开放290，已用300之前还被误伤成莆田系，太难了,致敬最勇敢的白衣战士 谢谢你们，始终战斗在疫情第一线，谢谢你们，用一双勤劳的双手救助一个又一个患者，谢谢你们，在过节期间放弃一切，全身心投入工作中，感谢你们，这个世界因为有你们，而变得温暖,有空床位，那怎么还有那么多在家等着不敢确诊的呢,这数字不能乐观。我记得之前说不能跨区，可能还是有病人没有床位，哎,明确就好,雷神山加油继续开放床位,那什么武汉仁爱医院玩意儿开始定点收治了么？,好消息越来越多 人们心情也跟着好起来了,快去肺炎患者求助超话里面告诉他们！帮她们顶一下！！！,金银潭开放六百多已用八百，还是缺呀,新冠病毒感染后，人的免疫系统会产生抗体，并存在血液中，通过与病毒的某些蛋白结合，并与免疫系统的其它功能配合，可以使病毒无法再感染人体的正常细胞，共同完成对病毒的清理。把痊愈病人的血液抽出来，经抗凝、离心后拿掉血细胞，剩下的液体就是血浆，血浆中含有抗体，可以用来对其他病人进行治疗。,床位还是挺紧张的，如果继续增长，各种资源能解决的吗？,不要让人等床，要让床等人,雷神山才开放159个床位的吗,空床位还有很多！,湖北冠状肺炎疫情以来第一次看到透明，现在透明不仅要体现在医院的病床，更要体现在方方面面，红十字会你说呢？,
,,,,,,,,,,,,,,,,,,,,,,
